Fre(kHz),Re,Im
-492.668151855469,0.313787576832886,0.24081775990601
-492.477416992188,0.313266567315705,0.241405586022585
-492.286682128906,0.313561533516445,0.241453881317724
-492.095947265625,0.312398085835027,0.241891683602226
-491.905212402344,0.313432153138826,0.241335997815574
-491.714477539063,0.313382016856868,0.241846262798437
-491.523742675781,0.313265514196013,0.242797269355488
-491.3330078125,0.313193151058528,0.24267414246987
-491.142272949219,0.313287195952289,0.242886186934302
-490.951538085938,0.313038950169297,0.24241064959336
-490.760803222656,0.313129894507712,0.242254019988642
-490.570068359375,0.31354327573601,0.24307830582045
-490.379333496094,0.313405868615259,0.242937771458025
-490.188598632813,0.313339000018418,0.243434549754243
-489.997863769531,0.312787947033864,0.243436891292498
-489.80712890625,0.31351129821012,0.243399667548244
-489.616394042969,0.313829342264622,0.243663500612199
-489.425659179688,0.314212559209051,0.243865329701661
-489.234924316406,0.312590004432028,0.243245145083732
-489.044189453125,0.312640637713942,0.243825046964788
-488.853454589844,0.313079047146324,0.244433248357013
-488.662719726563,0.312890974148447,0.245040033228731
-488.471984863281,0.312779661908362,0.244958953147067
-488.28125,0.313769226213217,0.24444752049143
-488.090515136719,0.313198002392905,0.245717433914017
-487.899780273438,0.313450546699067,0.246113080114155
-487.709045410156,0.313460562107844,0.245388780488807
-487.518310546875,0.313506807545487,0.246166176238402
-487.327575683594,0.313206291000345,0.246164600132077
-487.136840820313,0.313464939005701,0.24634428633503
-486.946105957031,0.313807762256239,0.246430549754517
-486.75537109375,0.312772391531885,0.246394791007428
-486.564636230469,0.313546887758665,0.246925975924311
-486.373901367188,0.313763763089543,0.246659782831384
-486.183166503906,0.313737734683744,0.248238842916952
-485.992431640625,0.313039505043619,0.248285696593762
-485.801696777344,0.314034792860542,0.24815572805304
-485.610961914063,0.314476237578821,0.24857010429234
-485.420227050781,0.313893273300903,0.247675259692357
-485.2294921875,0.314828647188986,0.248463403599176
-485.038757324219,0.313564536269451,0.248437696505166
-484.848022460938,0.313777914236604,0.248866874990271
-484.657287597656,0.314114637801107,0.249178236111916
-484.466552734375,0.313395361789566,0.248883404688086
